key_size,days_remaining,is_expired,is_self_signed,tls_version_score,cipher_bits,weak_signature,label
4096,312,0,1,4,128,0,normal
2048,122,0,0,4,256,0,normal
2048,99,0,0,4,256,0,normal
4096,295,0,1,4,256,0,normal
2048,345,0,0,4,256,0,normal
2048,159,0,1,4,256,0,normal
2048,333,0,0,4,256,0,normal
2048,181,0,0,4,256,0,normal
2048,357,0,0,4,256,0,normal
2048,253,0,0,4,256,0,normal
2048,322,0,0,3,256,0,normal
2048,329,0,0,4,256,0,normal
2048,143,0,0,4,256,0,normal
2048,82,0,1,1,56,0,anomalous
2048,311,0,0,4,256,0,normal
2048,302,0,0,4,256,0,normal
4096,111,0,0,4,256,0,normal
2048,352,0,0,4,128,0,normal
2048,283,0,0,3,256,0,normal
2048,258,0,0,4,256,0,normal
2048,290,0,1,4,256,0,normal
4096,361,0,0,4,128,0,normal
2048,173,0,1,4,128,0,normal
1024,53,0,1,4,256,0,anomalous
2048,248,0,0,4,128,0,normal
2048,350,0,1,4,256,0,normal
4096,337,0,0,4,256,0,normal
512,59,0,1,4,256,0,anomalous
2048,269,0,0,3,256,0,normal
2048,306,0,1,3,256,0,normal
2048,-132,1,1,4,256,0,anomalous
4096,191,0,0,3,256,0,normal
2048,329,0,1,4,256,0,normal
2048,247,0,0,4,256,0,normal
2048,119,0,1,2,112,0,anomalous
4096,238,0,0,4,128,0,normal
4096,124,0,1,3,256,0,normal
1024,129,0,1,4,256,0,anomalous
2048,294,0,1,3,128,0,normal
4096,119,0,0,4,256,0,normal
2048,301,0,0,3,256,0,normal
2048,146,0,1,4,256,0,normal
2048,300,0,0,4,128,0,normal
1024,-60,1,1,0,256,0,anomalous
2048,67,0,0,4,256,0,normal
2048,301,0,0,4,256,0,normal
2048,84,0,1,4,256,1,anomalous
2048,357,0,0,4,256,0,normal
4096,216,0,0,4,128,0,normal
1024,140,0,1,4,256,0,anomalous
2048,74,0,0,3,128,0,normal
2048,69,0,0,4,128,0,normal
2048,160,0,0,3,256,0,normal
4096,299,0,0,4,128,0,normal
2048,243,0,0,4,256,0,normal
2048,129,0,1,3,256,0,normal
2048,106,0,0,4,128,0,normal
2048,346,0,1,4,256,0,normal
